[2021-05-17 01:43:31.067] Starting up round ID 13.
 - -------------------------
[2021-05-17 02:04:16.266] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Common] (spans:  ) "Sério?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 03:04:20.939] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Pelo cara morto aque fora foi os waterland ne ?" (language: Galactic Common) (Brotherhood of Steel (165, 221, 2))
[2021-05-17 03:04:37.888] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sim, mas talvez alguém ajudou" (language: Galactic Common) (Caves (221, 191, 3))
[2021-05-17 03:04:49.524] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Suspeito dos seguidores" (language: Galactic Common) (Brotherhood of Steel Mining (221, 197, 3))
[2021-05-17 03:04:52.258] TCOMMS: guizog/(Bob Merlin) [Common] (spans:  ) "Menos um engraçadao" (language: Galactic Common) (Wasteland (62, 185, 2))
[2021-05-17 03:04:56.873] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Deixa fica de dia" (language: Galactic Common) (Brotherhood of Steel (169, 224, 2))
[2021-05-17 03:05:00.331] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Que vou atras" (language: Galactic Common) (Brotherhood of Steel (168, 226, 2))
[2021-05-17 03:05:04.079] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Js socorro" (language: Galactic Common) (Followers of the Apocalypse (93, 48, 2))
[2021-05-17 03:05:11.516] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Ou tu prefere que vou agora ?" (language: Galactic Common) (Brotherhood of Steel (162, 233, 2))
[2021-05-17 03:05:18.159] TCOMMS: Marco25555/(Nydia S. Highlands) [Medical] (spans:  yell ) "Nossa!!" (language: Galactic Common) (Followers of the Apocalypse (82, 51, 2))
[2021-05-17 03:05:40.324] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Sei um luga do lado aque que normalmente eles ficam" (language: Galactic Common) (Brotherhood of Steel (168, 222, 2))
[2021-05-17 03:05:44.832] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Quer ir lá ?" (language: Galactic Common) (Brotherhood of Steel (168, 222, 2))
[2021-05-17 03:05:49.238] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Humm" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 206, 3))
[2021-05-17 03:05:56.805] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Problema é a base ficar desprotegida" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 205, 3))
[2021-05-17 03:06:05.954] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Mas da pra ir agora" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 206, 3))
[2021-05-17 03:06:07.916] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vai ser rapido" (language: Galactic Common) (Brotherhood of Steel (148, 237, 2))
[2021-05-17 03:06:15.409] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tu tem night vision?" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 206, 3))
[2021-05-17 03:06:15.699] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "To esperando você aque no portão" (language: Galactic Common) (Brotherhood of Steel (152, 237, 2))
[2021-05-17 03:06:18.764] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tenho" (language: Galactic Common) (Brotherhood of Steel (156, 237, 2))
[2021-05-17 03:06:55.939] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo to subindo" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 227, 3))
[2021-05-17 03:11:50.242] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O Oasis fica perto dos seguidores" (language: Galactic Common) (Wasteland (92, 189, 2))
[2021-05-17 03:11:53.495] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Podem ser aliados" (language: Galactic Common) (Wasteland (92, 189, 2))
[2021-05-17 03:12:33.545] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Cade você" (language: Galactic Common) (Wasteland (107, 95, 2))
[2021-05-17 03:14:20.796] TCOMMS: Syndi-Pudim/(Fernadinho Beiramar) [Common] (spans:  ) "Eu declaro o oasis propriedade do comando vermelho." (language: Galactic Common) (Followers of the Apocalypse (86, 53, 2))
[2021-05-17 03:21:12.336] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "To quebrando" (language: Galactic Common) (Village (159, 158, 2))
[2021-05-17 03:25:41.412] TCOMMS: SondTheAnime/(Courier) [Common] (spans:  ) "Infelizmente depois de declarar o Oasis properiedade do Comando Vermelho, foi abatido e morto." (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 224, 3))
[2021-05-17 03:26:14.217] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Ny" (language: Galactic Common) (Followers of the Apocalypse (90, 50, 2))
[2021-05-17 03:31:20.885] TCOMMS: AlbertoVinhofino/(Elias Ivanov) [Vault] (spans:  ) "Alguém?" (language: Galactic Common) (Vault (49, 158, 4))
[2021-05-17 03:33:18.880] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Achei silver nas cavez" (language: Galactic Common) (Caves (212, 196, 3))
[2021-05-17 03:33:19.497] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Tanta chuva que cai quero saber como esse deserto é seco" (language: Galactic Common) (Brotherhood of Steel (143, 237, 2))
[2021-05-17 03:33:33.065] TCOMMS: SondTheAnime/(Courier) [Common] (spans:  ) "Bomba Nuclear?" (language: Galactic Common) (Caves (214, 196, 3))
[2021-05-17 03:33:44.878] TCOMMS: SondTheAnime/(Courier) [Common] (spans:  ) "Radiação?" (language: Galactic Common) (Caves (213, 198, 3))
[2021-05-17 03:35:11.413] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Ta vivo ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 201, 3))
[2021-05-17 03:35:15.664] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "To" (language: Galactic Common) (Caves (221, 192, 3))
[2021-05-17 03:35:22.256] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Onde tu ta" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 209, 3))
[2021-05-17 03:35:25.417] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Caves" (language: Galactic Common) (Brotherhood of Steel Mining (221, 197, 3))
[2021-05-17 03:36:19.002] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Alô?" (language: Galactic Common) (Wasteland (65, 119, 2))
[2021-05-17 03:36:23.912] TCOMMS: dantesousa/(Dante Sousa) [Medical] (spans:  ) "Vivo?!" (language: Galactic Common) (Followers of the Apocalypse (86, 47, 2))
[2021-05-17 03:36:27.324] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Dante. Você soube que eu fui sequestrado por um índio, né?" (language: Galactic Common) (Wasteland (70, 119, 2))
[2021-05-17 03:36:34.252] TCOMMS: dantesousa/(Dante Sousa) [Medical] (spans:  ) "Sim..." (language: Galactic Common) (Followers of the Apocalypse (86, 47, 2))
[2021-05-17 03:36:35.468] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Cade ce" (language: Galactic Common) (Caves (222, 190, 3))
[2021-05-17 03:36:41.214] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "MEU DEUS" (language: Galactic Common) (Enclave (130, 18, 3))
[2021-05-17 03:36:41.255] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Caves" (language: Galactic Common) (Caves (208, 195, 3))
[2021-05-17 03:36:44.043] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Então? Posso matar este depois?" (language: Galactic Common) (Wasteland (78, 88, 2))
[2021-05-17 03:37:00.863] TCOMMS: dantesousa/(Dante Sousa) [Medical] (spans:  ) "Sim" (language: Galactic Common) (Followers of the Apocalypse (86, 46, 2))
[2021-05-17 03:37:07.989] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Ótimo. Ele quebrou a porta." (language: Galactic Common) (Wasteland (118, 40, 2))
[2021-05-17 03:37:08.651] TCOMMS: dantesousa/(Dante Sousa) [Medical] (spans:  ) "Chupe o sangue do mesmo" (language: Galactic Common) (Followers of the Apocalypse (86, 46, 2))
[2021-05-17 03:37:26.512] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Eu ja tava com essa drill..." (language: Galactic Common) (Caves (210, 196, 3))
[2021-05-17 03:38:00.497] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Foi" (language: Galactic Common) (Caves (85, 239, 2))
[2021-05-17 03:38:10.890] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tirei o ninho do bixo" (language: Galactic Common) (Caves (218, 180, 3))
[2021-05-17 03:38:11.469] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Alo" (language: Galactic Common) (Caves (84, 242, 2))
[2021-05-17 03:38:16.406] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Como?" (language: Galactic Common) (Caves (204, 197, 3))
[2021-05-17 03:38:23.994] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "So passei a faca no ninho" (language: Galactic Common) (Caves (214, 183, 3))
[2021-05-17 03:38:24.000] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Dante, onde tu tá?" (language: Galactic Common) (Followers of the Apocalypse (85, 56, 2))
[2021-05-17 03:38:28.649] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Aa..." (language: Galactic Common) (Caves (204, 201, 3))
[2021-05-17 03:38:32.354] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Achei umas combat armor" (language: Galactic Common) (Followers of the Apocalypse (85, 56, 2))
[2021-05-17 03:38:32.462] TCOMMS: dantesousa/(Dante Sousa) [Medical] (spans:  ) "Na clinica" (language: Galactic Common) (Wasteland (84, 62, 2))
[2021-05-17 03:38:37.886] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "147.3" (language: Galactic Common) (Caves (84, 241, 2))
[2021-05-17 03:38:37.912] TCOMMS: brunoasbahr/(Montagne Marshall) [Common] (spans:  ) "147.3" (language: Galactic Common) (Caves (84, 241, 2))
[2021-05-17 03:38:40.303] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Tem bala e cartunho?" (language: Galactic Common) (Caves (87, 239, 2))
[2021-05-17 03:38:40.323] TCOMMS: Luciam/(Victoria Valentine) [Common] (spans:  ) "Tem bala e cartunho?" (language: Galactic Common) (Caves (87, 239, 2))
[2021-05-17 03:38:41.857] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Aoba" (language: Galactic Common) (Caves (87, 239, 2))
[2021-05-17 03:38:41.878] TCOMMS: Luciam/(Victoria Valentine) [Common] (spans:  italics ) "Aoba" (language: Galactic Common) (Caves (87, 239, 2))
[2021-05-17 03:39:06.032] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tirei não" (language: Galactic Common) (Caves (215, 193, 3))
[2021-05-17 03:39:12.099] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sabia" (language: Galactic Common) (Caves (200, 202, 3))
[2021-05-17 03:39:23.168] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Eu tentei tirar na faca" (language: Galactic Common) (Caves (202, 200, 3))
[2021-05-17 03:39:42.456] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tu tem madeira ai ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 200, 3))
[2021-05-17 03:39:47.526] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Nope" (language: Galactic Common) (Caves (199, 196, 3))
[2021-05-17 03:39:56.791] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Comigo não" (language: Galactic Common) (Caves (199, 201, 3))
[2021-05-17 03:39:57.559] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Temos um desfibrilador?" (language: Galactic Common) (Followers of the Apocalypse (82, 44, 2))
[2021-05-17 03:40:05.231] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vou fazer" (language: Galactic Common) (Brotherhood of Steel (133, 237, 2))
[2021-05-17 03:42:29.900] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tu ta la encima?" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 202, 3))
[2021-05-17 03:44:21.286] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Saiu arma no buraco" (language: Galactic Common) (Caves (203, 178, 3))
[2021-05-17 03:44:26.789] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Arma?" (language: Galactic Common) (Caves (202, 192, 3))
[2021-05-17 03:44:43.165] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Interessante" (language: Galactic Common) (Caves (212, 184, 3))
[2021-05-17 03:45:33.844] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Saiu mais arma" (language: Galactic Common) (Caves (186, 188, 3))
[2021-05-17 03:45:44.958] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se for forte leva pra dentro" (language: Galactic Common) (Caves (198, 189, 3))
[2021-05-17 03:45:46.467] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Acho que coloca escravo pra minerar seria perigoso" (language: Galactic Common) (Caves (188, 188, 3))
[2021-05-17 03:45:51.509] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se não deixa ai e depois pega" (language: Galactic Common) (Caves (198, 189, 3))
[2021-05-17 03:46:00.323] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "É uma hunting shotgun" (language: Galactic Common) (Caves (186, 188, 3))
[2021-05-17 03:46:06.654] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Depois pega" (language: Galactic Common) (Caves (196, 191, 3))
[2021-05-17 03:46:33.217] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Acho que somos os unico que temos um local de mineração na abse" (language: Galactic Common) (Caves (200, 191, 3))
[2021-05-17 03:46:41.397] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Os outros tem" (language: Galactic Common) (Caves (197, 204, 3))
[2021-05-17 03:46:51.742] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Legião, enclave, NCR" (language: Galactic Common) (Caves (198, 201, 3))
[2021-05-17 03:46:54.404] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tudo tem" (language: Galactic Common) (Caves (198, 201, 3))
[2021-05-17 03:46:59.529] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tendi" (language: Galactic Common) (Caves (200, 200, 3))
[2021-05-17 03:47:09.886] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Mas a nossa é maior eu acho" (language: Galactic Common) (Caves (201, 205, 3))
[2021-05-17 03:47:14.056] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E tem mais monstro" (language: Galactic Common) (Caves (201, 205, 3))
[2021-05-17 03:47:21.984] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado pode ter deathclaw aqui" (language: Galactic Common) (Caves (201, 205, 3))
[2021-05-17 03:47:48.994] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "To pegando os minerio do chão" (language: Galactic Common) (Caves (196, 190, 3))
[2021-05-17 03:47:55.061] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Achei dois guns and bullets" (language: Galactic Common) (Radiation (228, 240, 4))
[2021-05-17 03:47:59.749] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Pega com a caixa e leva pra dentro" (language: Galactic Common) (Caves (195, 205, 3))
[2021-05-17 03:48:01.334] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Falta o volume 1" (language: Galactic Common) (Radiation (228, 240, 4))
[2021-05-17 03:48:05.540] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E joga a caixa na esteira" (language: Galactic Common) (Caves (195, 204, 3))
[2021-05-17 03:49:26.694] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Oque vai querer de equipamentos ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 199, 3))
[2021-05-17 03:49:59.924] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Não sei" (language: Galactic Common) (Caves (196, 204, 3))
[2021-05-17 03:50:15.389] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "O índio quebrou a janela da entrada." (language: Galactic Common) (Followers of the Apocalypse (89, 56, 2))
[2021-05-17 03:50:17.323] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Seria bom Ion pra combater o Enclave, mas não sei se tem como fazer" (language: Galactic Common) (Caves (196, 204, 3))
[2021-05-17 03:50:24.035] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tem não" (language: Galactic Common) (Brotherhood of Steel Mining (225, 203, 3))
[2021-05-17 03:50:28.767] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Triste" (language: Galactic Common) (Caves (198, 207, 3))
[2021-05-17 03:50:36.415] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tu não tem ion ?" (language: Galactic Common) (Brotherhood of Steel Mining (225, 203, 3))
[2021-05-17 03:50:43.932] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tenho pior" (language: Galactic Common) (Caves (201, 208, 3))
[2021-05-17 03:50:46.862] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "É verdade" (language: Galactic Common) (Caves (201, 208, 3))
[2021-05-17 03:50:51.641] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tinha esquecido" (language: Galactic Common) (Caves (201, 208, 3))
[2021-05-17 03:53:59.636] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Achei uranio até que fim" (language: Galactic Common) (Caves (195, 217, 3))
[2021-05-17 03:55:55.046] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Teste... Um." (language: Galactic Common) (Followers of the Apocalypse (86, 46, 2))
[2021-05-17 03:56:12.977] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Atualzei umas maquinas" (language: Galactic Common) (Brotherhood of Steel Operations Department (223, 223, 3))
[2021-05-17 03:56:17.661] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vou ver lá em cima" (language: Galactic Common) (Brotherhood of Steel Operations Department (224, 226, 3))
[2021-05-17 03:56:23.362] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Caves (188, 201, 3))
[2021-05-17 03:56:39.610] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Se quiser ja pode para de minerar" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 237, 3))
[2021-05-17 03:56:57.010] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Alguem vivo ainda ?" (language: Galactic Common) (Brotherhood of Steel (165, 231, 2))
[2021-05-17 03:57:15.731] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Vixe todo mundo morreu" (language: Galactic Common) (Brotherhood of Steel (171, 221, 2))
[2021-05-17 03:57:28.797] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Irei da uma saida" (language: Galactic Common) (Brotherhood of Steel (169, 219, 2))
[2021-05-17 03:57:35.173] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Talvez não queriam responder" (language: Galactic Common) (Brotherhood of Steel Mining (221, 197, 3))
[2021-05-17 03:57:43.330] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado" (language: Galactic Common) (Brotherhood of Steel Mining (220, 197, 3))
[2021-05-17 03:57:43.729] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Eu sei" (language: Galactic Common) (Wasteland (182, 188, 2))
[2021-05-17 03:59:04.922] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Tem gente viva sim" (language: Galactic Common) (Wasteland (142, 168, 2))
[2021-05-17 03:59:29.411] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Aqueles sucateiros eles não tretam com ninguém, vivem bem." (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 206, 3))
[2021-05-17 03:59:41.435] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Eles tavam me perseguindo" (language: Galactic Common) (Wasteland (169, 208, 2))
[2021-05-17 03:59:50.799] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Dibrei eles" (language: Galactic Common) (Brotherhood of Steel (170, 218, 2))
[2021-05-17 04:00:08.515] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "So não atirei porque não atiraram" (language: Galactic Common) (Brotherhood of Steel (164, 231, 2))
[2021-05-17 04:00:44.651] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Não atire em estranho antes deles atirarem em você." (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 200, 3))
[2021-05-17 04:00:45.201] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Podemos vender equipametnos de engenharia pros sucateiro" (language: Galactic Common) (Brotherhood of Steel (175, 218, 2))
[2021-05-17 04:01:00.587] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Que tu acha ?" (language: Galactic Common) (Brotherhood of Steel (175, 220, 2))
[2021-05-17 04:01:05.254] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Tchu. Tchu. Alguém na escuta?" (language: Galactic Common) (Followers of the Apocalypse (83, 44, 2))
[2021-05-17 04:01:09.928] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Hummm se eles tiverem caps pra comprar" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 199, 3))
[2021-05-17 04:01:20.232] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Ou se eles tiverem cosias tecnologicos" (language: Galactic Common) (Brotherhood of Steel (140, 237, 2))
[2021-05-17 04:01:28.330] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Também" (language: Galactic Common) (Brotherhood of Steel RnD Department (228, 199, 3))
[2021-05-17 04:01:29.275] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Ninguém? Que pena." (language: Galactic Common) (Followers of the Apocalypse (83, 44, 2))
[2021-05-17 04:01:56.487] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Alô?" (language: Galactic Common) (Followers of the Apocalypse (83, 44, 2))
[2021-05-17 04:02:02.556] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Tchu. Tchu. Se lembram do índio?" (language: Galactic Common) (Followers of the Apocalypse (83, 44, 2))
[2021-05-17 04:07:51.508] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Pesquisei o bagulho de granada" (language: Galactic Common) (Brotherhood of Steel RnD Department (232, 205, 3))
[2021-05-17 04:10:38.452] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "To lendo essas blueprint para aprender a fazer as armas" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 194, 3))
[2021-05-17 04:10:52.480] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Ela so ensina fazer uma arma" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 199, 3))
[2021-05-17 04:11:04.731] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cada blueprint é pra cada arma" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 195, 3))
[2021-05-17 04:13:06.732] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "To com 223 caps" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 223, 3))
[2021-05-17 04:13:17.551] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Da pra comprar livro numas loja de robos" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 223, 3))
[2021-05-17 04:13:28.257] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "COmpra lá" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 194, 3))
[2021-05-17 04:14:11.999] TCOMMS: fidgetybacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "A gente encontrou uma power armor" (language: Galactic Common) (Radiation (229, 229, 4))
[2021-05-17 04:19:34.616] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Sucateiros ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 204, 3))
[2021-05-17 04:19:52.534] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Sucateiros ?" (language: Galactic Common) (Brotherhood of Steel (127, 237, 2))
[2021-05-17 04:20:03.540] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Se estiverem ouvindo respondam é novidade pra vocês" (language: Galactic Common) (Brotherhood of Steel (132, 237, 2))
[2021-05-17 04:20:30.671] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Aff os livros aqui ta mais caro do que lembrava" (language: Galactic Common) (Wasteland (240, 93, 2))
[2021-05-17 04:20:36.812] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vixe" (language: Galactic Common) (Brotherhood of Steel (173, 218, 2))
[2021-05-17 04:20:50.427] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Sucateiros ?" (language: Galactic Common) (Brotherhood of Steel (173, 216, 2))
[2021-05-17 04:20:53.886] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Waterland ?" (language: Galactic Common) (Brotherhood of Steel (173, 216, 2))
[2021-05-17 04:21:04.850] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vou ir na base deles tenta conversa com eles" (language: Galactic Common) (Brotherhood of Steel (175, 220, 2))
[2021-05-17 04:21:28.708] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ok" (language: Galactic Common) (Legion (243, 31, 2))
[2021-05-17 04:22:20.848] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Achei um negocio doido" (language: Galactic Common) (Wasteland (101, 229, 2))
[2021-05-17 04:22:26.455] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O que?" (language: Galactic Common) (Wasteland (149, 65, 2))
[2021-05-17 04:22:34.907] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Na parte do sucateiro tem um elevador que leva pr aum luga doido" (language: Galactic Common) (Wasteland (98, 227, 2))
[2021-05-17 04:22:49.187] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Acho que sei o que, cuidado pode ter monstro" (language: Galactic Common) (Wasteland (98, 66, 2))
[2021-05-17 04:23:33.399] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "To no oasis" (language: Galactic Common) (Caves (72, 34, 3))
[2021-05-17 04:24:26.365] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daria" (language: Galactic Common) (Wasteland (60, 79, 2))
